name,rating,reviews,price_range,street,postal_code,nb_photos,Latitude,Longitude,Business_type
Pulpería A Gudiña,4.0,46.0,[12 - 33],"Carrer d'Entença, 2",08015 Barcelona,126,41.375487799999995,2.1562676,restaurant
Miño,4.0,194.0,[12 - 33],"Calle del Carme, 19",08001 Barcelona,432,41.3823278,2.1708235,restaurant
Café Emma,4.0,30.0,[12 - 33],"Carrer de Pau Claris, 142",08009 Barcelona,141,41.3939325,2.1659213999999998,restaurant
Marina Bay,4.0,35.0,[12 - 33],"Carrer de la Marina, 19 - 21",08005 Barcelona,168,41.3867496,2.1970155,restaurant
El Chigre 1769,4.5,25.0,[34 - 66],"Carrer dels Sombrerers, 7",08003 Barcelona,69,41.383878700000004,2.1820567000000004,restaurant
Macchina,4.5,82.0,under 11,"Carrer d'Astúries, 17",08012 Barcelona,126,41.403042299999996,2.1535234,restaurant
Taverna Iberia,4.5,20.0,under 11,"Carrer de l'Almirall Churruca, 4",08003 Barcelona,36,41.378983000000005,2.1895816000000003,restaurant
Maccaroni,4.5,57.0,[12 - 33],"Carrer Carders, 6",08003 Barcelona,102,41.3859252,2.1800353,restaurant
Pizzeria Da Nanni,5.0,22.0,,"Carrer de la Llibreteria, 10",08002 Barcelona,40,41.3831724,2.1773915,restaurant
Informal,5.0,27.0,[34 - 66],"Carrer de la Plata, 4",08002 Barcelona,78,41.3801927,2.1806929,restaurant
El Bitxo,4.5,44.0,[12 - 33],Carrer de Verdaguer i Callís 9,08003 Barcelona,36,41.3872287,2.1756873,restaurant
Cinco Jotas,4.0,15.0,[12 - 33],"Rambla de  Catalunya, 91",08008 Barcelona,70,41.39286679999999,2.1607347000000003,restaurant
Ribs,4.5,3.0,[12 - 33],"Carrer de Doctor Fleming, 10",08017 Barcelona,34,41.3934556,2.1357,restaurant
Agust,4.5,44.0,[12 - 33],"Carrer del Parlament, 54",08015 Barcelona,134,41.3772598,2.1639537,restaurant
La Taverna de L’Eixample,4.0,12.0,under 11,"Gran Via de les Corts Catalanes, 688",08010 Barcelona,46,41.3930619,2.1738039000000002,restaurant
9 Reinas,4.5,53.0,[34 - 66],"Carrer de València, 267",08007 Barcelona,119,41.3940689,2.1648449,restaurant
Sintonia,4.5,2.0,,,,,,,restaurant
Honest Greens,5.0,22.0,,"Rambla de Catalunya, 3",08007 Barcelona,43,41.3874797,2.1678389,restaurant
Estimar,4.5,19.0,over 67,"Carrer de Sant Antoni dels Sombrerers, 3",08003 Barcelona,144,41.3841894,2.1816436,restaurant
CDLC,4.0,87.0,[34 - 66],"Passeig Marítim de la Barceloneta, 32",08003 Barcelona,151,41.384981200000006,2.1962771,restaurant
173,5.0,4.0,,"Avinguda de Rius i Taulet, 1-3",08004 Barcelona,6,41.3724753,2.1550853,restaurant
Mazah,4.0,10.0,,"Gran Via de les Corts Catalanes, 618",08007 Barcelona,26,41.3877176,2.1666298,restaurant
Viena,4.5,72.0,under 11,"La Rambla del Estudis, 115",08002 Barcelona,102,41.3841697,2.1707127,restaurant
Angle,4.5,15.0,over 67,"Carrer d'Aragó, 214",08011 Barcelona,134,41.388256,2.1599542,restaurant
La Cova Fumada,4.5,118.0,[12 - 33],"Carrer del Baluard, 56",08003 Barcelona,301,41.3792719,2.1892177999999998,restaurant
Solomillo,4.5,10.0,over 67,"Carrer de Mallorca, 251",08008 Barcelona,50,41.393208200000004,2.1614617999999997,restaurant
Obe Restaurant,5.0,35.0,[12 - 33],"Plaça Santa Caterina, 1",08003 Barcelona,107,41.385616999999996,2.1785277,restaurant
Thai Zaap,5.0,7.0,,"Carrer de Viladomat, 131",08015 Barcelona,14,41.380903700000005,2.1554963,restaurant
Els Sortidors del Parlament,4.5,18.0,[12 - 33],"Carrer del Parlament, 53",08015 Barcelona,64,41.377658700000005,2.1636933999999997,restaurant
Red Ant,4.0,66.0,under 11,"Carrer dels Tiradors, 3-5",08003 Barcelona,103,41.3879625,2.1806766,restaurant
Alaire,4.5,6.0,[12 - 33],"Passeig de Gràcia, 73",08008 Barcelona,39,41.39343,2.1624077,restaurant
Season Tapas Restaurante,5.0,5.0,,"Carrer d'Aribau, 125",08036 Barcelona,85,41.3913544,2.1552118,restaurant
Kamasot,4.5,9.0,[12 - 33],"Carrer del Consell de Cent, 465",08013 Barcelona,24,41.3989092,2.1757854,restaurant
Modu Korean Bowl,4.5,7.0,,"Carrer Minerva, 8",08006 Barcelona,5,41.3966759,2.1562957000000003,restaurant
Lonja de Tapas,4.0,23.0,under 11,"Carrer de Jaume I, 8-10",08002 Barcelona,63,41.38322539999999,2.1779189999999997,restaurant
PORK… boig per tu,4.5,34.0,[12 - 33],"Carrer del Consolat de Mar, 15",08003 Barcelona,129,41.382155299999994,2.1817794,restaurant
Norte,4.0,9.0,under 11,"Carrer de la Diputació, 321",08009 Barcelona,14,41.3936613,2.170929,restaurant
Taco Alto,4.5,50.0,under 11,,,,,,restaurant
Equilibrium Cafè,4.5,10.0,under 11,"Carrer de València, 352",08009 Barcelona,19,41.397322499999994,2.1696482999999995,restaurant
Bar Ramón,4.5,44.0,[12 - 33],"Carrer del Comte Borrell, 81",08015 Barcelona,37,41.3786903,2.1606507,restaurant
Ugot Bruncherie,4.5,84.0,[12 - 33],"Carrer de Viladomat, 138",08015 Barcelona,163,41.3814111,2.1553718999999996,restaurant
CruiX,5.0,11.0,[34 - 66],"Carrer d'Entença, 57",08015 Barcelona,65,41.37810220000001,2.1522517999999997,restaurant
Petit Bangkok,4.5,7.0,[34 - 66],"Carrer de Balmes, 106",08008 Barcelona,19,41.3923418,2.158896,restaurant
Palosanto,4.5,25.0,[34 - 66],"Carrer d'Avinyó, 30",08002 Barcelona,75,41.380751700000005,2.1772424999999997,restaurant
Bar del Pla,4.0,133.0,[12 - 33],"Carrer de Montcada, 2",08003 Barcelona,375,41.385611,2.1800184,restaurant
Elisabets,4.0,75.0,under 11,"Carrer d'Elisabets, 2",08001 Barcelona,122,41.383715,2.1691013,restaurant
Maná 75,4.5,3.0,[34 - 66],"Passeig de Joan de Borbó, 101",08039 Barcelona,33,41.3688689,2.1882247,restaurant
La Cuina d’ en Garriga,4.0,23.0,[34 - 66],"Carrer de Consell de Cent, 308",08007 Barcelona,52,41.3908105,2.1655172,restaurant
La Hacienda,5.0,17.0,under 11,"Carrer de la Princesa, 23",08003 Barcelona,27,41.3853345,2.1803508,restaurant
Hummus,4.5,30.0,[12 - 33],"Carrer de Valencia, 227",08007 Barcelona,25,41.3913406,2.1611795,restaurant
Slow & Low,4.0,5.0,,"Carrer del Comte Borrell, 119",08015 Barcelona,45,41.3804239,2.1582305,restaurant
El Pachuco,4.5,128.0,under 11,"Carrer de Sant Pau, 110",08001 Barcelona,172,41.3764929,2.1691511,restaurant
El Venezia,4.0,9.0,under 11,"Gran Via de les Corts Catalanes, 667",08010 Barcelona,18,41.394242999999996,2.1737986,restaurant
El Rincón del Artista,4.0,23.0,[12 - 33],"Carrer Nou de la Rambla, 105",08001 Barcelona,19,41.3752139,2.1704171000000003,restaurant
Chalito,4.0,12.0,,"Rambla de Catalunya, 12",08007 Barcelona,13,41.388394399999996,2.1680884,restaurant
Pau Claris 190,4.5,34.0,[34 - 66],"Carrer de Pau Claris, 190",08037 Barcelona,99,41.396622,2.1621966,restaurant
Chez Cocó,4.5,23.0,[12 - 33],"Avinguda Diagonal, 465",08036 Barcelona,51,41.393179100000005,2.1472581,restaurant
Portolés,4.5,12.0,under 11,"Carrer de la Diputació, 375",08013 Barcelona,16,41.3969984,2.1754782,restaurant
Bo de Gracia,4.0,12.0,,"Carrer de la Diputació, 269",08007 Barcelona,11,41.3909063,2.1675218,restaurant
