,name,Rating,Review count,Price range,Category,Neighbourhood,nb_photos,street,postal_code
137,Morryssom,4.0,54,under 11,Tapas Bars,L'Eixample,105,"Carrer de Girona, 162",08037 Barcelona
138,La Esquina,4.5,31,[12 - 33],Cafeteria,L'Eixample,80,,
139,Sagardi BCN Gòtic,4.0,125,[12 - 33],Basque,"Sant Pere, Santa Caterina i la Ribera-Born",66,"Carrer de l'Argenteria, 62",08003 Barcelona
140,Mastica,5.0,6,,Pizza,El Raval,21,"Carrer del Carme, 40",08001 Barcelona
141,Bar Rubí,4.5,38,under 11,Spanish,"Sant Pere, Santa Caterina i la Ribera-Born",20,"Carrer Banys Vells, 6",08003 Barcelona
142,Foc i Oli,5.0,91,[12 - 33],Sandwiches,L'Eixample,131,"Carrer Aribau, 91",08036 Barcelona
143,Bell e Buon,5.0,30,[34 - 66],Pizza,Horta-Guinardó,119,"Travessera de Grácia, 441",08025 Barcelona
144,La Plata,4.5,126,under 11,Tapas/Small Plates,Barri Gòtic,,"Carrer de la Mercè, 28",08002 Barcelona
145,Roast Club Cafe,5.0,16,[12 - 33],Cafeteria,L'Eixample,126,"Carrer Valencia, 143",08011 Barcelona
146,Brasayleña,5.0,2,,Brazilian,Parc i Llacuna del Poblenou,432,C.C. les Glories,
147,Somewhere,4.5,28,under 11,Breakfast & Brunch,L'Eixample,141,"Carrer d'Aragó, 310",08009 Barcelona
148,Can Ros,4.5,10,under 11,Tapas/Small Plates,Gràcia,168,"Carrer Roger de Flor, 303",08025 Barcelona
149,The Fish & Chips Shop,4.5,44,under 11,Fish & Chips,L'Eixample,69,"Carrer de Rocafort, 70",08015 Barcelona
150,Tabarlot,4.5,44,[12 - 33],Catalan,El Raval,36,"Carrer de San Pau, 4",08001 Barcelona
151,Bar But,4.5,11,[12 - 33],Bars,Gràcia,102,"Carrer de Bonavista, 8",08012 Barcelona
152,Bacaro,4.5,19,[12 - 33],Italian,El Raval,40,"Carrer de Jerusalem, 6",08001 Barcelona
153,Zarautz,4.5,122,[12 - 33],Basque,Sants,78,"Carrer de l'Elisi, 13",08014 Barcelona
154,Sol Soler,4.0,56,under 11,Tapas Bars,Gràcia,36,"Plaça del Sol, 21",08012 Barcelona
155,Amarre 69,4.5,14,[12 - 33],Tapas Bars,Barceloneta,70,"Paseo Juan de Borbón, 69",08003 Barcelona
156,Uma,5.0,16,,Signature Cuisine,L'Eixample,34,"Carrer de Mallorca, 275",08008 Barcelona
157,TAPS,5.0,31,under 11,Tapas Bars,El Poble-sec,46,"Carrer de Mare de Deu del Remei, 53",08004 Barcelona
158,Bodega La Palma,4.5,37,[12 - 33],Wine Bars,Barri Gòtic,119,"Carrer de la Palma de Sant Just, 7",08002 Barcelona
159,El Brunch del Majestic,4.0,1,,Mediterranean,L'Eixample,,"Passeig de Gracia, 68",08007 Barcelona
160,Viet Kitchen,4.5,5,,Vietnamese,L'Eixample,144,"Carrer d'Aribau, 137",08036 Barcelona
161,Hänsel,4.5,73,under 11,Breakfast & Brunch,L'Eixample,151,"Carrer de Provença, 237",08008 Barcelona
162,Maestró,4.0,33,[12 - 33],Beer Bar,L'Eixample,6,"Rambla de Catalunya, 79",08007 Barcelona
163,210 Grammi,5.0,2,,Italian,Parc i Llacuna del Poblenou,26,,
164,Pulpería A Gudiña,4.0,46,[12 - 33],Spanish,L'Eixample,102,"Carrer d'Entença, 2",08015 Barcelona
165,Miño,4.0,194,[12 - 33],Seafood,El Raval,134,"Calle del Carme, 19",08001 Barcelona
166,Café Emma,4.0,30,[12 - 33],French,L'Eixample,301,"Carrer de Pau Claris, 142",08009 Barcelona
167,Marina Bay,4.0,35,[12 - 33],Seafood,La Vila Olímpica,50,"Carrer de la Marina, 19 - 21",08005 Barcelona
168,Marina Bay,4.0,35,[12 - 33],Seafood,La Vila Olímpica,6,"Carrer de la Marina, 19 - 21",08005 Barcelona
169,El Chigre 1769,4.5,25,[34 - 66],Tapas/Small Plates,"Sant Pere, Santa Caterina i la Ribera-Born",107,"Carrer dels Sombrerers, 7",08003 Barcelona
170,Taverna Iberia,4.5,20,under 11,Spanish,Barceloneta,64,"Carrer de l'Almirall Churruca, 4",08003 Barcelona
171,Maccaroni,4.5,57,[12 - 33],Italian,"Sant Pere, Santa Caterina i la Ribera-Born",103,"Carrer Carders, 6",08003 Barcelona
172,Pizzeria Da Nanni,5.0,22,,Pizza,Barri Gòtic,39,"Carrer de la Llibreteria, 10",08002 Barcelona
173,Informal,5.0,27,[34 - 66],Catalan,Barri Gòtic,85,"Carrer de la Plata, 4",08002 Barcelona
174,El Bitxo,4.5,44,[12 - 33],Tapas/Small Plates,"Sant Pere, Santa Caterina i la Ribera-Born",24,Carrer de Verdaguer i Callís 9,08003 Barcelona
175,Cinco Jotas,4.0,15,[12 - 33],Spanish,L'Eixample,5,"Rambla de  Catalunya, 91",08008 Barcelona
176,Ribs,4.5,3,[12 - 33],American (Traditional),Sarrià - Sant Gervasi,63,"Carrer de Doctor Fleming, 10",08017 Barcelona
177,Agust,4.5,44,[12 - 33],Mediterranean,L'Eixample,129,"Carrer del Parlament, 54",08015 Barcelona
178,La Taverna de L’Eixample,4.0,12,under 11,Mediterranean,L'Eixample,14,"Gran Via de les Corts Catalanes, 688",08010 Barcelona
179,9 Reinas,4.5,53,[34 - 66],Argentine,L'Eixample,,"Carrer de València, 267",08007 Barcelona
180,Sintonia,4.5,2,,Cocktail Bars,L'Eixample,19,,
181,Honest Greens,5.0,22,,Vegetarian,L'Eixample,37,"Rambla de Catalunya, 3",08007 Barcelona
182,Honest Greens,5.0,22,,Vegetarian,L'Eixample,111,"Rambla de Catalunya, 3",08007 Barcelona
183,Estimar,4.5,19,over 67,Seafood,"Sant Pere, Santa Caterina i la Ribera-Born",163,"Carrer de Sant Antoni dels Sombrerers, 3",08003 Barcelona
184,CDLC,4.0,87,[34 - 66],Asian Fusion,Barceloneta,65,"Passeig Marítim de la Barceloneta, 32",08003 Barcelona
185,173,5.0,4,,Cocktail Bars,El Poble-sec,19,"Avinguda de Rius i Taulet, 1-3",08004 Barcelona
186,Mazah,4.0,10,,Lebanese,L'Eixample,75,"Gran Via de les Corts Catalanes, 618",08007 Barcelona
187,Viena,4.5,72,under 11,Coffee & Tea,El Raval,375,"La Rambla del Estudis, 115",08002 Barcelona
188,Angle,4.5,15,over 67,Catalan,L'Eixample,122,"Carrer d'Aragó, 214",08011 Barcelona
189,La Cova Fumada,4.5,118,[12 - 33],Tapas/Small Plates,Barceloneta,33,"Carrer del Baluard, 56",08003 Barcelona
190,Solomillo,4.5,10,over 67,Spanish,L'Eixample,52,"Carrer de Mallorca, 251",08008 Barcelona
191,Obe Restaurant,5.0,35,[12 - 33],Italian,"Sant Pere, Santa Caterina i la Ribera-Born",27,"Plaça Santa Caterina, 1",08003 Barcelona
192,Thai Zaap,5.0,7,,Thai,L'Eixample,25,"Carrer de Viladomat, 131",08015 Barcelona
193,Els Sortidors del Parlament,4.5,18,[12 - 33],Tapas Bars,L'Eixample,45,"Carrer del Parlament, 53",08015 Barcelona
194,Els Sortidors del Parlament,4.5,18,[12 - 33],Tapas Bars,L'Eixample,13,"Carrer del Parlament, 53",08015 Barcelona
195,Red Ant,4.0,66,under 11,Thai,"Sant Pere, Santa Caterina i la Ribera-Born",172,"Carrer dels Tiradors, 3-5",08003 Barcelona
196,Alaire,4.5,6,[12 - 33],Tapas Bars,L'Eixample,18,"Passeig de Gràcia, 73",08008 Barcelona
197,Season Tapas Restaurante,5.0,5,,Spanish,L'Eixample,19,"Carrer d'Aribau, 125",08036 Barcelona
198,Kamasot,4.5,9,[12 - 33],Korean,L'Eixample,13,"Carrer del Consell de Cent, 465",08013 Barcelona
199,Modu Korean Bowl,4.5,7,,Korean,Gràcia,99,"Carrer Minerva, 8",08006 Barcelona
200,Lonja de Tapas,4.0,23,under 11,Spanish,Barri Gòtic,51,"Carrer de Jaume I, 8-10",08002 Barcelona
201,PORK… boig per tu,4.5,34,[12 - 33],Spanish,"Sant Pere, Santa Caterina i la Ribera-Born",16,"Carrer del Consolat de Mar, 15",08003 Barcelona
202,Norte,4.0,9,under 11,Spanish,L'Eixample,11,"Carrer de la Diputació, 321",08009 Barcelona
203,Norte,4.0,9,under 11,Spanish,L'Eixample,363,"Carrer de la Diputació, 321",08009 Barcelona
204,Taco Alto,4.5,50,under 11,Mexican,"Sant Pere, Santa Caterina i la Ribera-Born",178,,
205,Equilibrium Cafè,4.5,10,under 11,Coffee & Tea,L'Eixample,8,"Carrer de València, 352",08009 Barcelona
206,Bar Ramón,4.5,44,[12 - 33],Spanish,L'Eixample,9,"Carrer del Comte Borrell, 81",08015 Barcelona
