,Pub names,Rating,Review count,Price range,Category,Neighbourhood,Location,Website
108,Bloody Mary,4.5,9,€€,Cocktail Bars,Gràcia,"Carrer de Ferrer de Blanes, 3--08012 Barcelona--Spain",http://bloodymarybcn.es
109,Paspartú,5.0,10,€€,Pubs,"Sant Pere, Santa Caterina i la Ribera-Born","Carrer de les Basses de Sant Pere, 12-14--08003 Barcelona--Spain",
110,Kahiki,2.5,7,€€€,Pubs,L'Eixample,"Gran Via de les Corts Catalanes, 581--08011 Barcelona--Spain",
111,The Cottage,5.0,1,,Irish Pub,Les Corts,"Carrer de la Dagueria, 20--08002 Barcelona--Spain",http://www.barzimbcn.com
112,Zim,4.5,10,€€,Wine Bars,Barri Gòtic,"Carrer de Margarit, 43--08004 Barcelona--Spain",
113,Cervecería Jazz,4.5,10,€€€,Tapas Bars,El Poble-sec,"Carrer de Marià Cubí, 183--08021 Barcelona--Spain",http://www.bubblicbar.com
114,Bubblic,4.0,5,€€,Pubs,Sarrià - Sant Gervasi,"Carrer de Pau Claris, 92--08010 Barcelona--Spain",http://www.elephantbcn.com/
115,Elephant,4.0,8,€€€,Pubs,L'Eixample,"Carrer de Almogàvers, 116--08018 Barcelona--Spain",
116,Rocksound,4.5,2,€€,Music Venues,Parc i Llacuna del Poblenou,"Carrer de Rossend Arús, 9--08014 Barcelona--Spain",
117,Koitton Club,4.5,2,€€,Pubs,Sants,"Carrer de Francisco Giner, 47--08012 Barcelona--Spain",http://www.bobbygin.com/
118,Bobby Gin,4.5,54,€€,Cocktail Bars,Gràcia,"Carrer d'Aldana, 8--08015 Barcelona--Spain",http://www.filomenagastrobar.c…
119,Filomena,4.5,7,€€,Gastropubs,L'Eixample,"Plaça del Sol, 7-8--08012 Barcelona--Spain",
120,Woody Bar,4.0,5,,Jazz & Blues,Gràcia,"Carrer de Santaló, 34--08021 Barcelona--Spain",
121,The End,4.0,1,,Pubs,Sarrià - Sant Gervasi,"Carrer de Sepúlveda, 186--08011 Barcelona--Spain",
122,La Principal,3.5,16,€,Breakfast & Brunch,L'Eixample,"Carrer dels Escudellers, 28--08002 Barcelona--Spain",
123,Tequila 44,4.0,12,€€,Pubs,Barri Gòtic,"Carrer Sant Antoni Maria Claret, 220--08025 Barcelona--Spain",
124,Insòlita Gea,4.5,18,,Tapas Bars,€€,"Carrer d'en Roca, 14--08002 Barcelona--Spain",
125,Filomena,4.5,7,€€,Gastropubs,L'Eixample,"Calle Enamorats, 90--08026 Barcelona--Spain",
126,Blondie,5.0,1,€€,Pubs,Barri Gòtic,"Carrer de Mallorca, 196--08036 Barcelona--Spain",http://www.cocteleriacooler.co…
127,Set Barcelona,5.0,1,,Beer Bar,Sant Martí,"Carrer del Poeta Cabanyes, 21--08004 Barcelona--Spain",
128,Coctelería Cooler,4.0,12,€€,Cocktail Bars,L'Eixample,"Carrer de I'Escorial, 117--08024 Barcelona--Spain",
129,El Rouge,4.0,4,€€€,Pubs,El Poble-sec,"Carrer del Cardenal Casanas, 4--08002 Barcelona--Spain",
130,Inch Bar,4.5,11,€,Pubs,Gràcia,"Moll del Gregal, 1-3--08005 Barcelona--Spain",http://www.monchos.com
131,El Rouge,4.0,4,€€€,Pubs,El Poble-sec,"Carrer dels Escudellers, 49--08002 Barcelona--Spain",http://www.marulacafe.com
132,Bar International Beer,2.5,16,€,Spanish,Barri Gòtic,"Carrer de Casanova, 96--08011 Barcelona--Spain",
133,Bongo’s,5.0,1,,Burgers,La Vila Olímpica,"Carrer d'Aribau, 154--08036 Barcelona--Spain",
134,Marula Café,4.0,18,€€,Dance Clubs,Barri Gòtic,"Carrer de Casp, 55--08010 Barcelona--Spain",http://www.rarebcn.com
135,Pub Fiction,4.5,3,€€,Cocktail Bars,L'Eixample,"Carrer de Jesús, 16--08012 Barcelona--Spain",http://barlabeata.com
136,Le Cyrano,4.0,9,€,Pubs,L'Eixample,"Carrer Santa Eulàlia , 21--08012 Barcelona--Spain",http://www.bpipaclub.com
137,Rare,4.0,1,,Burgers,L'Eixample,"Carrer de Vallfogona, 10--08012 Barcelona--Spain",
138,La Beata,4.5,3,,Beer Bar,Gràcia,"Carrer de Ferlandina, 24--08001 Barcelona--Spain",
139,Barcelona Pipa Club,5.0,2,,Pubs,Gràcia,"Carrer del Pintor Fortuny, 15--08001 Barcelona--Spain",
140,Velcro Bar,4.0,6,€€€,Pubs,Gràcia,"Carrer Matilde, 7--08012 Barcelona--Spain",
141,Bar Fidel,4.5,17,€,Bars,El Raval,"Carrer de Mozart, 16--08012 Barcelona--Spain",
142,DiSapore Bar,4.5,2,,Pubs,El Raval,"Carrer de Riego, 29--08014 Barcelona--Spain",
143,Ballbreaker,4.0,5,,Pubs,Gràcia,"Carrer de la Mercè, 13--08002 Barcelona--Spain",
144,Kimera,4.0,3,,Pubs,Gràcia,"Carrer de la Riera Alta, 4-6--08001 Barcelona--Spain",http://www.marmaladebarcelona.…
145,La Gorda,4.0,1,€€,Beer Bar,Sants,Carrer d'Aribau 103--08036 Barcelona--Spain,http://www.karaokebarcelona.co…
146,La República,4.0,16,€€,Argentine,Barri Gòtic,"Calle L'escar, 4--08039 Barcelona--Spain",
147,Marmalade,4.0,68,€€,Lounges,El Raval,"Pasaje Valeri Serra, 3--08011 Barcelona--Spain",
148,A Viva Voz,3.0,3,,Karaoke,L'Eixample,"Avinguda Diagonal, 442--08037 Barcelona--Spain",
149,Colombo,4.0,7,€€,Pubs,Barceloneta,"Ramblas, 122--08002 Barcelona--Spain",http://www.living-barcelona.co…
150,Versailles,4.5,4,€,Gay Bars,L'Eixample,"Carrer de la Palma de Sant Just, 1--08002 Barcelona--Spain",http://www.ginger.cat
151,Garage 442,,,€,Pubs,L'Eixample,"Carrer d'en Gignàs, 21--08002 Barcelona--Spain",http://www.milkbarcelona.com/
152,Living Barcelona 1925,4.0,20,,Mediterranean,€€,Playa de Ocata -----Barcelona--Spain,
153,Ginger,4.0,9,€€,Cocktail Bars,Barri Gòtic,"Carrer d'Aragó, 343--08009 Barcelona--Spain",
154,Milk Bar & Bistro,4.5,431,€€,American (Traditional),Barri Gòtic,Rogen 45--08026 Barcelona--Spain,
155,Exterior,5.0,1,,Pubs,,"Passeig de Joan de Borbó, 22--08003 Barcelona--Spain",
156,Butyklan,3.5,7,€€,Pubs,L'Eixample,Calle Sardenya 317--08025 Barcelona--Spain,
157,Bar Do,,,,Pubs,,"Carrer d'Aribau, 133--08036 Barcelona--Spain",http://www.jardinetaribau.com/
158,The Fastnet,3.5,8,€,Gastropubs,Barceloneta,"Carrer dels Sombrerers, 7--08003 Barcelona--Spain",
159,Bar Prasoa,3.5,4,€,Pubs,L'Eixample,"Carrer d'Avinyó, 35--08002 Barcelona--Spain",
160,El Jardinet d’Aribau,2.0,4,€€,Pubs,L'Eixample,"Carrer Gran de Gràcia, 36--08012 Barcelona--Spain",http://alfabar.cat
161,Alpaca´s,,,€€,Sports Bars,"Sant Pere, Santa Caterina i la Ribera-Born",Carrer de Casanova 210--08036 Barcelona--Spain,http://www.musicende.com
162,The Fastnet,3.5,8,€,Gastropubs,Barceloneta,"Calle Guinardo, 200--08041 Barcelona--Spain",
163,Síncopa,3.5,9,€€,Pubs,Barri Gòtic,"Carrer de Muntaner, 64--08011 Barcelona--Spain",http://www.botanicbarcafe.com
164,Alfa Bar,4.0,6,€€,Pubs,Gràcia,"Carrer del Torrent de l'Olla, 145--08012 Barcelona--Spain",
165,Ende,4.0,2,€€,Pubs,L'Eixample,"Carrer Ample, 26--08002 Barcelona--Spain",http://www.sensi.es
166,Kioto,5.0,1,,Pubs,Horta-Guinardó,"Carrer de la Mercè, 26--08002 Barcelona--Spain",https://www.elrabipelao.com
167,Botanic,3.5,2,,Pubs,L'Eixample,"Carrer del Comte Borrell, 18--08015 Barcelona--Spain",
168,El Zoo,3.0,1,,Pubs,Gràcia,Calle Sicilia 125--08013 Barcelona--Spain,
169,Sensi,4.5,377,€€,Tapas/Small Plates,Barri Gòtic,"Carrer de Pau Claris, 192--08037 Barcelona--Spain",http://www.barmut.com/
170,Rabipelao,3.5,9,€,Pubs,Barri Gòtic,Calle Valencia 207--08007 Barcelona--Spain,
171,La Bodeguita Bright,4.5,4,€,Pubs,L'Eixample,"Calle Aribau, 195--08021 Barcelona--Spain",http://www.sohobcn.com/
172,Victor Gomez Hidalgo,5.0,1,,Pubs,L'Eixample,"Carrer de les Sitges, 5--08001 Barcelona--Spain",
173,Bar Mut,4.5,149,€€€,Wine Bars,L'Eixample,"Carrer dels Escudellers, 8--08002 Barcelona--Spain",https://grillroom-barthonet.co…
174,Bodegon del Norte - Marzan,3.0,3,€€,Spanish,L'Eixample,"Carrer De L'Or,19--08012 Barcelona--Spain",
175,Soho,,,,Dance Clubs,Sarrià - Sant Gervasi,"Carrer de Joaquín Costa, 4--08001 Barcelona--Spain",http://3345.struments.com/
176,Caribbean Club,5.0,11,€€€,Cocktail Bars,El Raval,"Carrer de Saragossa, 89--08006 Barcelona--Spain",
177,Grill Room Bar Thonet,5.0,8,,Spanish,Barri Gòtic,"Carrer de la Cera, 32--08001 Barcelona--Spain",
