name,rating,reviews,price_range,street,postal_code,nb_photos,Latitude,Longitude
Coctelería Cooler,4.0,12.0,[12 - 33],"Carrer de Mallorca, 196",08036 Barcelona,40,41.390014,2.1578597999999998
El Rouge,4.0,4.0,[34 - 66],"Carrer del Poeta Cabanyes, 21",08004 Barcelona,9,41.3740988,2.1657277
Inch Bar,4.5,11.0,under 11,"Carrer de I'Escorial, 117",08024 Barcelona,11,41.4083746,2.1601789
Bar International Beer,2.5,16.0,under 11,"Carrer del Cardenal Casanas, 4",08002 Barcelona,30,41.3815434,2.1735203
Bongo’s,5.0,1.0,,"Moll del Gregal, 1-3",08005 Barcelona,,41.389156899999996,2.2005147000000003
Marula Café,4.0,18.0,[12 - 33],"Carrer dels Escudellers, 49",08002 Barcelona,17,41.3801125,2.1767965
Pub Fiction,4.5,3.0,[12 - 33],"Carrer de Casanova, 96",08011 Barcelona,,41.3870852,2.1568939
Le Cyrano,4.0,9.0,under 11,"Carrer d'Aribau, 154",08036 Barcelona,4,41.392207299999995,2.154464
Rare,4.0,1.0,,"Carrer de Casp, 55",08010 Barcelona,12,41.3929766,2.1750943
La Beata,4.5,3.0,,"Carrer de Jesús, 16",08012 Barcelona,4,41.3991638,2.1580517
Barcelona Pipa Club,5.0,2.0,,"Carrer Santa Eulàlia , 21",08012 Barcelona,,41.4012834,2.1639237000000002
Velcro Bar,4.0,6.0,[34 - 66],"Carrer de Vallfogona, 10",08012 Barcelona,,41.402778000000005,2.1572074
Bar Fidel,4.5,17.0,under 11,"Carrer de Ferlandina, 24",08001 Barcelona,18,41.3819549,2.1653742
DiSapore Bar,4.5,2.0,,"Carrer del Pintor Fortuny, 15",08001 Barcelona,15,41.3829589,2.1699834
Ballbreaker,4.0,5.0,,"Carrer Matilde, 7",08012 Barcelona,8,41.4004473,2.1568716
Kimera,4.0,3.0,,"Carrer de Mozart, 16",08012 Barcelona,,41.3993537,2.1583587000000004
La Gorda,4.0,1.0,[12 - 33],"Carrer de Riego, 29",08014 Barcelona,5,41.376721999999994,2.1382922000000004
La República,4.0,16.0,[12 - 33],"Carrer de la Mercè, 13",08002 Barcelona,64,41.3801215,2.1802772
Marmalade,4.0,68.0,[12 - 33],"Carrer de la Riera Alta, 4-6",08001 Barcelona,125,41.3807434,2.1671671000000003
A Viva Voz,3.0,3.0,,Carrer d'Aribau 103,08036 Barcelona,18,41.3902745,2.1564782000000005
Colombo,4.0,7.0,[12 - 33],"Calle L'escar, 4",08039 Barcelona,11,41.3756604,2.188616
Versailles,4.5,4.0,under 11,"Pasaje Valeri Serra, 3",08011 Barcelona,17,41.384666100000004,2.1607825000000003
Garage 442,,,under 11,"Avinguda Diagonal, 442",08037 Barcelona,,41.3971083,2.1607054
Living Barcelona 1925,4.0,20.0,,"Ramblas, 122",08002 Barcelona,43,41.383823,2.1714665
Ginger,4.0,9.0,[12 - 33],"Carrer de la Palma de Sant Just, 1",08002 Barcelona,21,41.3827818,2.1783961
Milk Bar & Bistro,4.5,431.0,[12 - 33],"Carrer d'en Gignàs, 21",08002 Barcelona,649,41.380247,2.1792235
Exterior,5.0,1.0,,Playa de Ocata ---,Barcelona,,41.4786087,2.3203009
Butyklan,3.5,7.0,[12 - 33],"Carrer d'Aragó, 343",08009 Barcelona,6,41.39712279999999,2.1709482
Bar Do,,,,Rogen 45,08026 Barcelona,,41.4118532,2.1830997
The Fastnet,3.5,8.0,under 11,"Passeig de Joan de Borbó, 22",08003 Barcelona,6,41.3795951,2.18781
Bar Prasoa,3.5,4.0,under 11,Calle Sardenya 317,08025 Barcelona,,41.4037423,2.1725222
El Jardinet d’Aribau,2.0,4.0,[12 - 33],"Carrer d'Aribau, 133",08036 Barcelona,58,41.3918684,2.1545514999999997
Alpaca´s,,,[12 - 33],"Carrer dels Sombrerers, 7",08003 Barcelona,,41.383878700000004,2.1820567000000004
Síncopa,3.5,9.0,[12 - 33],"Carrer d'Avinyó, 35",08002 Barcelona,12,41.3803469,2.1790755
Alfa Bar,4.0,6.0,[12 - 33],"Carrer Gran de Gràcia, 36",08012 Barcelona,11,41.3988625,2.15691
Ende,4.0,2.0,[12 - 33],Carrer de Casanova 210,08036 Barcelona,,41.391915399999995,2.1503352000000002
Kioto,5.0,1.0,,"Calle Guinardo, 200",08041 Barcelona,,41.4161788,2.1813015
Botanic,3.5,2.0,,"Carrer de Muntaner, 64",08011 Barcelona,76,41.387054,2.1592414
El Zoo,3.0,1.0,,"Carrer del Torrent de l'Olla, 145",08012 Barcelona,,41.4036721,2.1554037
Sensi,4.5,377.0,[12 - 33],"Carrer Ample, 26",08002 Barcelona,681,41.3803248,2.1800471000000003
Rabipelao,3.5,9.0,under 11,"Carrer de la Mercè, 26",08002 Barcelona,17,41.3801932,2.1805383
La Bodeguita Bright,4.5,4.0,under 11,"Carrer del Comte Borrell, 18",08015 Barcelona,48,41.376356099999995,2.1641459
Victor Gomez Hidalgo,5.0,1.0,,Calle Sicilia 125,08013 Barcelona,,41.3968544,2.179574
Bar Mut,4.5,149.0,[34 - 66],"Carrer de Pau Claris, 192",08037 Barcelona,294,41.3973097,2.1612477
Bodegon del Norte - Marzan,3.0,3.0,[12 - 33],Calle Valencia 207,08007 Barcelona,,41.3903792,2.1597623
Soho,,,,"Calle Aribau, 195",08021 Barcelona,,41.3952263,2.1497071
Caribbean Club,5.0,11.0,[34 - 66],"Carrer de les Sitges, 5",08001 Barcelona,18,41.3844287,2.1694758
Grill Room Bar Thonet,5.0,8.0,,"Carrer dels Escudellers, 8",08002 Barcelona,21,41.3792525,2.1760605
Gracia Latina,3.5,4.0,[12 - 33],"Carrer De L'Or,19",08012 Barcelona,13,41.4045451,2.1568236
33/45,4.0,17.0,under 11,"Carrer de Joaquín Costa, 4",08001 Barcelona,11,41.3810676,2.1675065
Mil Estones,4.0,1.0,,"Carrer de Saragossa, 89",08006 Barcelona,,41.4034688,2.1469442
Pesca Salada,4.5,12.0,[12 - 33],"Carrer de la Cera, 32",08001 Barcelona,10,41.3784082,2.1654591
Bar Dúrcal,5.0,1.0,,"Carrer de Càceres, 34",08028 Barcelona,,41.3747532,2.1312811000000003
Nello’s,2.0,5.0,[12 - 33],"Rosselló, 255",08008 Barcelona,14,41.395523,2.1592606
Armony Cocktails Gintonics,,,[12 - 33],"Calle Indústria, 135",08025 Barcelona,5,41.4085785,2.1729341
"3011 Hosteleria y Restauracion, S.C.P.",3.0,1.0,,Calle Valencia 194,08011 Barcelona,,41.388332500000004,2.1578214
Kaizen Afterwork,5.0,1.0,[12 - 33],"Carrer de Castella, 1",08018 Barcelona,28,41.404493,2.1988202
Smoking Dog,3.0,1.0,,"Carrer de París, 191",08036 Barcelona,,41.393646999999994,2.1530682
La Guayra,3.0,2.0,,"Carrer de Provença, 243",08008 Barcelona,10,41.3940047,2.1603237
Manchester,3.5,9.0,under 11,"Carrer de Milans, 5",08002 Barcelona,6,41.3806965,2.1790104
Bar Malasang,4.5,10.0,[12 - 33],"Carrer de Comte Borrell, 148",08015 Barcelona,24,41.38286179999999,2.1555388
Mandri,4.0,12.0,[12 - 33],"Carrer de Mandri, 60",08022 Barcelona,10,41.40502120000001,2.1322505
No Sweat Bar,3.5,2.0,[12 - 33],"Carrer de Vic, 19",08006 Barcelona,,41.3989901,2.1547897000000003
Tropical,5.0,1.0,,Calle Paloma 19,08001 Barcelona,,41.3819032,2.1642596000000003
El Garaje Hermético,3.0,1.0,,"Avinguda Diagonal, 442",08037 Barcelona,,41.3971083,2.1607054
Mar de Copas,,,,"Carrer de Marià Cubí, 55",08006 Barcelona,6,41.398147200000004,2.1496478999999997
Bodega del Onze,4.0,3.0,,"Carrer de Blai, 8",08004 Barcelona,5,41.373193799999996,2.1659964
Els Tres Porquets,4.0,9.0,[34 - 66],"Rambla Poblenou, 165",08005 Barcelona,114,41.407180100000005,2.1930118
Quilombo,4.0,8.0,[12 - 33],"Carrer d'Aribau, 149",08036 Barcelona,5,41.3925507,2.1536432999999997
Pastís,3.5,6.0,[12 - 33],"Carrer de Santa Mónica, 4",08001 Barcelona,4,41.3773792,2.1750827
Bar Pastis,5.0,1.0,,"Rambla de Santa Mónica, 4",08002 Barcelona,,41.3771955,2.1765042
Coppelia Club,,,,"Carrer Rera Palau, 4",08003 Barcelona,9,41.3836305,2.1836644
Opera Samfaina,4.0,11.0,[12 - 33],"La Rambla, 51-59",08001 Barcelona,65,41.3802333,2.1736993
Black Velvet,4.0,1.0,[12 - 33],"Nou de la Rambla, 130",08004 Barcelona,10,41.373696200000005,2.1684147
Night and Day,,,,"Carrer dels Almogàvers, 62",08018 Barcelona,45,41.3939211,2.1862044999999997
Thales,3.5,8.0,under 11,"Carrer dels Templers, 16",08002 Barcelona,14,41.381764600000004,2.1783025
Homo Sibaris,4.0,27.0,under 11,"Plaça Osca, 4",08014 Barcelona,49,41.3762829,2.1388287999999998
El Circulo,5.0,1.0,[12 - 33],"Carrer Banys Vells, 11",08003 Barcelona,11,41.384405799999996,2.1808908
Um Que Rico,5.0,1.0,,Carrer Sant Joan de Malta 150,08018 Barcelona,,41.4043584,2.1983857
Gente de Pasta,5.0,1.0,,Calle Enric Granados 67,08008 Barcelona,,41.3910361,2.1575911
Gris,3.0,1.0,,"Passeig de Sant Antoni, 23",08014 Barcelona,,41.3772364,2.1371151000000004
Bar Manolo,4.0,4.0,,"Carrer de Lancaster, 3",08001 Barcelona,4,41.3785796,2.1741099
Foxy Bar,4.0,11.0,[12 - 33],"Carrer de la Riera Alta, 59",08001 Barcelona,9,41.3803272,2.1644064
BeeriVins,5.0,2.0,[12 - 33],"Carrer de Còrsega, 589-591",08025 Barcelona,4,41.4076526,2.1739318
Central 134,,,under 11,,,,,
Bar la Maquinista,4.0,1.0,,Calle Maquinista 13,08003 Barcelona,,41.3807601,2.1885779999999997
Aloha,4.0,8.0,,"Carrer de Provença, 159",08036 Barcelona,18,41.389821000000005,2.1545787
Pasapalo,5.0,15.0,[12 - 33],"Carrer del Poeta Cabanyes, 6",08004 Barcelona,52,41.374512,2.1657734
Mora,3.0,1.0,,"Carrer Rossello, 495",08025 Barcelona,,41.4078766,2.17633
Wild Rover Barcelona,2.0,3.0,[12 - 33],"Carrer de Santa Mònica, 2",08001 Barcelona,24,41.3775376,2.1753737999999996
Red Rocket,4.0,3.0,,"Carrer dels Còdols, 21",08002 Barcelona,,41.3795742,2.1783577000000003
Cheers,3.0,1.0,,"Carrer Santa Mónica, 2",08001 Barcelona,4,41.3775376,2.1753737999999996
Mexcla,4.0,29.0,under 11,"Carrer Ramón y Cajal, 35",08012 Barcelona,93,41.4029029,2.158896
La Abadiba,,,,"Carrer del Rosselló, 174",08036 Barcelona,,41.39205820000001,2.1560683
No Sé,4.0,8.0,[12 - 33],"Passeig del Born, 21",08003 Barcelona,10,41.3849739,2.1827941
Vic-Lor Scp,5.0,1.0,,Calle Poblenou 149,08018 Barcelona,,41.406425,2.194025
Bloomsday Literary Pub,2.5,2.0,,Rambla de Santa Mònica 23,08002 Barcelona,,41.3759516,2.1774821
Tripode,3.5,4.0,,Calle Born 17,08003 Barcelona,,41.3842701,2.1855572999999997
La Pubilla del Taulat,4.5,11.0,[12 - 33],"Carrer de Marià Aguiló, 131",08005 Barcelona,22,41.3998339,2.2055197
Piacere Caffe,3.5,6.0,under 11,"Plaça de la Sagrada Família, 6",08013 Barcelona,4,41.40217,2.17212
D9,4.0,12.0,under 11,"Carrer de Pallars, 122",08018 Barcelona,1497,41.3967333,2.1920213
Vanguard,4.0,6.0,[12 - 33],"Carrer de Llull, 155",08005 Barcelona,,41.399584399999995,2.200057
El Ciclista,4.0,10.0,[12 - 33],"Carrer Mozart , 18",08012 Barcelona,7,41.3994333,2.1582819
That’s the Way,,,,"Calle Entença, 85",08015 Barcelona,12,41.379428000000004,2.1507336
Pipa,4.0,1.0,,Calle Llull 159,08005 Barcelona,,41.3998553,2.2002107000000004
Sifó,4.0,14.0,under 11,"Carrer d'Espalter, 4",08001 Barcelona,5,41.378523200000004,2.1706223999999996
Kè?,3.5,11.0,under 11,"Carrer del Baluart, 54",08003 Barcelona,9,41.3793338,2.1891943
